State,ETR Composite Score,ETR Rank,Background Checks,Waiting Period,No Stand Your Ground,Assualt Weapons Ban,High-Capacity Mag. Ban,Political Leaning
California,86.5,1,1,1,1,1,1,blue
New York,81.5,2,1,0,1,1,1,blue
Hawaii,79.5,3,1,1,1,1,1,blue
New Jersey,79,4,1,1,1,1,1,blue
Connecticut,78.5,5,1,0,1,1,1,blue
Massachusetts,78,6,1,0,1,1,1,blue
Illinois,77,7,1,1,1,1,1,blue
Maryland,72.5,8,1,1,1,1,1,blue
Oregon,66.5,9,1,0,1,0,1,blue
Washington,62.5,10,1,0,1,0,1,blue
Delaware,60,11,1,0,1,1,1,blue
Colorado,58.5,12,1,0,1,0,1,blue
Rhode Island,57.5,13,1,1,1,0,1,blue
Virginia,49,14,1,0,1,0,0,blue
Pennsylvania,40,15,0,0,0,0,0,purple
New Mexico,39.5,16,1,0,1,0,0,blue
Minnesota,38.5,17,0,0,1,0,0,blue
Nevada,35,18,1,0,0,0,0,purple
Florida,33.5,19,0,0,0,0,0,purple
Vermont,32.5,20,1,0,1,0,1,blue
North Carolina,31,21,0,0,0,0,0,purple
Nebraska,31,22,0,0,1,0,0,red
Wisconsin,28,23,0,0,1,0,0,purple
Michigan,25.5,24,0,0,0,0,0,purple
Maine,20.5,25,0,0,1,0,0,purple
Louisiana,20.5,26,0,0,0,0,0,red
West Virginia,20,27,0,0,0,0,0,red
South Carolina,18,28,0,0,0,0,0,red
Tennessee,16.5,29,0,0,0,0,0,red
Indiana,16.5,30,0,0,0,0,0,red
Iowa,15.5,31,0,0,0,0,0,red
Texas,13.5,32,0,0,0,0,0,red
Ohio,13,33,0,0,1,0,0,red
Alabama,12.5,34,0,0,0,0,0,red
North Dakota,11.5,35,0,0,1,0,0,red
Utah,11,36,0,0,0,0,0,red
Kansas,9.5,37,0,0,0,0,0,red
Missouri,9,38,0,0,0,0,0,red
New Hampshire,9,39,0,0,0,0,0,purple
Kentucky,9,40,0,0,0,0,0,red
Alaska,9,41,0,0,0,0,0,red
Arizona,8.5,42,0,0,0,0,0,purple
Oklahoma,7.5,43,0,0,0,0,0,red
Wyoming,6.5,44,0,0,0,0,0,red
South Dakota,5.5,45,0,0,0,0,0,red
Montana,5,46,0,0,0,0,0,red
Georgia,5,47,0,0,0,0,0,red
Idaho,5,48,0,0,0,0,0,red
Arkansas,4.5,49,0,0,1,0,0,red
Mississippi,3,50,0,0,0,0,0,red
