Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
1891461,31-Dec-20,Indiana,Indianapolis,8215 Center Run Road,1,3
1890946,31-Dec-20,Oregon,Happy Valley,9200 block of SE Idleman Rd,0,4
1886974,26-Dec-20,Illinois,Rockford,4007 E State St,3,3
1886913,26-Dec-20,Florida,Tampa,N 20th St and E 7th Ave,2,2
1887059,26-Dec-20,Massachusetts,Lynn,Washington St and Quincy Ter,1,5
1886849,26-Dec-20,Florida,Miami,NW 61st St and NW 13th Ave,1,3
1886372,25-Dec-20,Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4
1886721,25-Dec-20,Arkansas,Atkins,5180 Pine Ridge Rd,5,0
1886141,24-Dec-20,Florida,Lakeland,1500 block of Amos Ave,1,4
1885251,22-Dec-20,Mississippi,Meridian,Jeffrey Acres Rd,5,0
1882214,20-Dec-20,Connecticut,Bridgeport,456 Connecticut Ave,2,2
1881213,19-Dec-20,Illinois,Chicago,8936 S Cottage Grove Ave,0,6
1876727,13-Dec-20,West Virginia,Elkview,1384 Cemetery Hill Dr,4,0
1877043,12-Dec-20,California,San Bernardino,900 block of N Sierra Way,1,3
1876231,12-Dec-20,New York,Copiague,2336 Great Neck Rd,2,2
1876039,12-Dec-20,New York,Brooklyn,574 Warren St,0,4
1876552,12-Dec-20,Maryland,Hyattsville (Landover),8600 block of Old Ardmore Rd,2,2
1877628,10-Dec-20,Georgia,Tifton,700 block of 17 1/2 St,0,4
1877122,10-Dec-20,Mississippi,Jackson,1805 Hospital Dr,0,5
1908063,8-Dec-20,West Virginia,Williamsburg,611 Flynns Creek Rd,6,0
1873798,8-Dec-20,Louisiana,Lacombe,28399 Palmer Dr,2,3
1870827,6-Dec-20,Texas,Venus,6100 N FM 157,0,6
1871627,5-Dec-20,California,Hayward,25000 block of Eldridge Ave,1,3
1870840,5-Dec-20,North Carolina,Autryville,10101 Gip Rd,0,6
1869748,4-Dec-20,Illinois,Chicago,4400 block of W Adams St,0,4
1867006,1-Dec-20,Pennsylvania,Morrisville,1 Makefield Rd,1,3
1866100,30-Nov-20,Alaska,Palmer,335 N Valley Way,4,0
1864683,29-Nov-20,Mississippi,Grenada,Highway 8 East,0,11
1865110,29-Nov-20,Tennessee,Memphis,3492 W Metropolitan Cir,2,3
1863726,28-Nov-20,South Carolina,Aiken,1695 Richland Ave E,1,10
1864205,28-Nov-20,South Carolina,Conway,3800 block of Golden Key Rd,0,5
1864177,28-Nov-20,Louisiana,New Orleans,7001 Lawrence Rd,0,4
1862947,27-Nov-20,Georgia,Macon,425 Cherry St,1,5
1863099,27-Nov-20,Ohio,Toledo,3257 Stickney Ave,0,6
1862603,26-Nov-20,Nevada,Henderson,870 E Lake Mead Pkwy,1,5
