Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured
476321,31-Dec-15,Louisiana,New Orleans,1900 block of Amelia Street,0,6
473882,27-Dec-15,Tennessee,Jackson,North Parkway,0,4
472268,26-Dec-15,Pennsylvania,Philadelphia,4210 Macalester St,0,4
471867,25-Dec-15,Florida,Jacksonville,Franklin and Odessa,0,4
471860,25-Dec-15,Alabama,Mobile,785 Schillinger Rd S,0,4
469468,21-Dec-15,California,San Leandro,14600 block of East 14th Street,0,4
468968,20-Dec-15,North Carolina,Wilmington,11th and Castle Street,1,4
469614,20-Dec-15,Florida,North Miami Beach,NE 167th St and NE 6th Ave,0,4
468787,19-Dec-15,Florida,Miami,21630 SW 120th Ave,1,4
464665,13-Dec-15,California,Los Angeles,5550 S. Flower Street,1,3
464945,13-Dec-15,California,Huntington Beach,17000 block of Keelson Lane,0,4
465117,12-Dec-15,Illinois,Lovejoy (Brooklyn),307 Jefferson St,1,3
464002,12-Dec-15,Georgia,Savannah,Whitaker Street,0,4
463642,11-Dec-15,Maryland,Baltimore,5100 block of Park Heights Avenue,1,3
463734,11-Dec-15,Pennsylvania,Pittsburgh,1222 Brownsville Rd,0,4
461476,8-Dec-15,Ohio,Cincinnati,2300 block of Baltimore Ave,1,3
460049,6-Dec-15,Louisiana,Raceland,Market Street,1,3
460386,6-Dec-15,Nebraska,Omaha,North 108th Street and Military Road,2,3
456893,2-Dec-15,California,San Bernardino,1365 South Waterman Ave,16,19
457037,2-Dec-15,Georgia,Savannah,100 block of West 33rd Street,1,3
455394,29-Nov-15,Illinois,Kankakee,648 E Court St,0,5
454059,27-Nov-15,Colorado,Colorado Springs,3480 Centennial Blvd,3,9
455684,27-Nov-15,California,Sacramento,7900 block of Florin Road,2,2
454788,24-Nov-15,South Carolina,Conway,1321 Colletta Ct,0,4
452120,23-Nov-15,Minnesota,Minneapolis,Morgan Avenue North,0,5
452007,23-Nov-15,Ohio,Columbus,90 block of S Terrace Ave,4,1
453317,22-Nov-15,Texas,Brownsville,1800 block of FM 802,0,4
451338,22-Nov-15,Washington,Seattle,Broadway and Pike,0,4
451305,22-Nov-15,New York,Newburgh,203 Broadway,0,5
452362,22-Nov-15,South Carolina,North Charleston,Park Circle,1,3
451349,22-Nov-15,Illinois,Chicago,4100 block of West Roosevelt,0,4
451495,22-Nov-15,Louisiana,New Orleans,1900 block of Gallier St,0,17
451057,21-Nov-15,Maryland,Baltimore,Stricker and School,1,3
450505,20-Nov-15,Pennsylvania,Pittsburgh,Prospect Drive,1,3
449814,18-Nov-15,California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,0,5
448653,16-Nov-15,Alabama,Cedar Bluff,1460 County Rd 664,3,1
448419,15-Nov-15,Texas,Tennessee Colony,800 block of An County Rd 2217,5,0
448286,15-Nov-15,Pennsylvania,Philadelphia,5600 block of Blakemore St,0,4
447462,14-Nov-15,Pennsylvania,Johnstown,1159 Main St,0,4
446996,13-Nov-15,Florida,Jacksonville,1300 block of South Shirley Oaks Drive,4,1
444458,9-Nov-15,Indiana,Indianapolis,400 block of North Beville Ave,2,2
443821,8-Nov-15,Iowa,Des Moines,4397 NW 6th Drive,1,3
444168,8-Nov-15,Michigan,Warren,13859 8 Mile Road,0,4
443652,7-Nov-15,Colorado,Denver,Bayaud and Bannock,1,3
444406,6-Nov-15,California,Bakersfield,1000 block of Feliz Drive,0,4
441681,3-Nov-15,Florida,Jacksonville,Ella Street and Kings Road,2,3
440743,2-Nov-15,South Carolina,Pendleton,2217 Refuge Road,4,0
438651,28-Oct-15,Louisiana,Houma,400 block of Morgan Street,1,3
437836,27-Oct-15,Texas,Fort Worth,1700 block of Southcrest Drive,0,5
437323,26-Oct-15,Indiana,Evansville,711 E Virginia St,0,5
436234,25-Oct-15,Arizona,Phoenix,Seventh Street and Broadway,1,4
436240,25-Oct-15,District of Columbia,Washington,4300 block of Wheeler Road SE,0,5
436202,25-Oct-15,North Carolina,Four Oaks,2339 Stricklands Crossroads Road,0,5
436219,24-Oct-15,South Carolina,Bamberg,682 Dixie Ave.,0,4
435144,22-Oct-15,Tennessee,Nashville,3500 John A. Merritt Blvd,1,3
433146,19-Oct-15,Illinois,Calumet City,300 Campbell Avenue,0,6
432711,18-Oct-15,Louisiana,New Orleans,2600 block of Caffin Avenue,0,4
432466,17-Oct-15,Florida,Fort Myers,2224 First St,1,4
432072,17-Oct-15,Indiana,Elkhart,160 Easy Shopping Pl,0,4
429410,12-Oct-15,Georgia,Decatur,4731 Glenwood Road,0,4
428215,10-Oct-15,Tennessee,Memphis,6135 Mount Moriah Road,0,6
428247,10-Oct-15,North Carolina,Charlotte,1900 block of West Boulevard,0,4
429614,10-Oct-15,Illinois,Peoria,2405 N Flora,1,3
427621,9-Oct-15,Arizona,Flagstaff,216 E Mountain View Dr,1,3
426256,6-Oct-15,Maryland,Baltimore,300 block of North Payson Street,0,5
424224,2-Oct-15,Maryland,Baltimore,5400 Reisterstown Road,1,4
423223,1-Oct-15,Oregon,Roseburg,1140 Umpqua College Rd,10,9
422064,28-Sep-15,Illinois,Chicago,300 block of West 42nd Street,3,2
422035,28-Sep-15,Illinois,Chicago,5300 block of South Aberdeen Street,2,3
422020,28-Sep-15,Ohio,Dayton,1921 Oakridge,0,4
421650,28-Sep-15,Ohio,Cincinnati,1800 block of Hewitt Ave,0,5
421014,27-Sep-15,Georgia,Greenville,1140 Hill Haven Road,0,10
421358,27-Sep-15,Illinois,Chicago,5200 block of South Justine,0,4
